forced,tsid,time,state,residuals
False,4,362.0,0.8101011933802913,-0.008573240778335878
False,4,363.0,0.7978875553795868,-0.020796075214282395
False,4,364.0,0.7997661929378193,-0.018926657354816467
False,4,365.0,0.811066195780905,-0.007635885142501686
False,4,366.0,0.8050918247050264,-0.013619489614293157
False,4,367.0,0.8168722209893036,-0.0018483264441799818
False,4,368.0,0.8228141987851932,0.004084416868672003
False,4,369.0,0.836818790084926,0.01807977003788208
False,4,370.0,0.8155011387827483,-0.0032471236467728204
False,4,371.0,0.8184558965171876,-0.0003016100469501737
False,4,372.0,0.8171186170733705,-0.0016481315226171134
False,4,373.0,0.8247639762695532,0.005987992067486458
False,4,374.0,0.8171134488515487,-0.0016717596450429584
False,4,375.0,0.816799417148439,-0.001995000884097875
False,4,376.0,0.8134564318490207,-0.005347181439865123
False,4,377.0,0.8161856781908265,-0.0026271205417229826
False,4,378.0,0.8211224502905153,0.0023004697893937998
False,4,379.0,0.8190400814078731,0.00020891531378686157
False,4,380.0,0.828802836201212,0.00996247120176863
False,4,381.0,0.8191383738401388,0.00028878940988308344
False,4,382.0,0.8270677129618191,0.008208885988814862
False,4,383.0,0.8172587811392845,-0.0016093098241243275
False,4,384.0,0.8234365861162366,0.004559213137653173
False,4,385.0,0.8310765100640661,0.012189838691901267
False,4,386.0,0.8186247506469905,-0.0002712347570015261
False,4,387.0,0.8207150393710617,0.0018097260773127788
False,4,388.0,0.8268712545783937,0.00795660428247702
False,4,389.0,0.8346074625910231,0.015683471568639695
False,4,390.0,0.8315553442487351,0.012622012559668883
False,4,391.0,0.816444594369022,-0.002498072273616536
False,4,392.0,0.8182815008692521,-0.0006704879576731049
False,4,393.0,0.8254341049043876,0.006472813633525809
False,4,394.0,0.8253703859583571,0.006399819360558001
False,4,395.0,0.8219591827002674,0.002979377314339171
False,4,396.0,0.8207940870860476,0.0018050928316872827
False,4,397.0,0.8173180149382954,-0.0016801005354295517
False,4,398.0,0.8209107520658068,0.0019035999115776248
False,4,399.0,0.8223817096670242,0.0033656182203815055
False,4,400.0,0.8137875336389913,-0.005237388641634144
False,4,401.0,0.8164903117318804,-0.002543324219758669
False,4,402.0,0.8215638039706611,0.002521576943190884
False,4,403.0,0.8174375804229892,-0.0016131132885772725
False,4,404.0,0.8309447382107853,0.011885702372609774
False,4,405.0,0.8355049346849811,0.01643768196415396
False,4,406.0,0.8201050187801399,0.0010296778953842178
False,4,407.0,0.8317409878259134,0.012657693353128718
False,4,408.0,0.8183618918586295,-0.0007292132739047386
False,4,409.0,0.8140638439808904,-0.005034917700295627
False,4,410.0,0.817049545525348,-0.0020567073584520923
False,4,411.0,0.814997572588409,-0.004115994528906652
False,4,412.0,0.8134150416206976,-0.005705653424680213
False,4,413.0,0.8251268984446742,0.005999268665232593
False,4,414.0,0.8197323675790193,0.0005980000981649081
False,4,415.0,0.8164547736802303,-0.002686135717836602
False,4,416.0,0.8259715442605915,0.006824281111160402
False,4,417.0,0.8212218701056104,0.002068429285673079
False,4,418.0,0.8243048963565888,0.005145438033872463
False,4,419.0,0.815989864276419,-0.0031754722714557593
False,4,420.0,0.826611606756589,0.007440509074445711
False,4,421.0,0.8241065533308168,0.0049297910152863444
False,4,422.0,0.8217468497928412,0.002564501089642679
False,4,423.0,0.8149687582752585,-0.004219113793951124
False,4,424.0,0.8126954761959618,-0.00649787078947428
False,4,425.0,0.8106630357288617,-0.008535752389478679
False,4,426.0,0.8054571406907989,-0.01374706841795903
False,4,427.0,0.8078016296298647,-0.011407991559455377
False,4,428.0,0.8207027893165209,0.0014877547303799865
False,4,429.0,0.8221905527312118,0.0029700950016890992
False,4,430.0,0.8188557034591641,-0.0003701936006712536
False,4,431.0,0.8309292884238633,0.011697933442869846
False,4,432.0,0.8118997400600491,-0.007337094370528541
False,4,433.0,0.8108334410826173,-0.008408897600159726
False,4,434.0,0.8105458985618957,-0.008701970551216687
False,4,435.0,0.8195624138315013,0.00030898624042807743
False,4,436.0,0.8261183651676623,0.006859346898884677
False,4,437.0,0.8210110989211611,0.001746452583871072
False,4,438.0,0.8161670115980233,-0.0031033051262364664
False,4,439.0,0.8090162597033612,-0.01025977362859909
False,4,440.0,0.8239234583446394,0.004641659403485265
False,4,441.0,0.8163393612586585,-0.0029482530187762146
False,4,442.0,0.8060907841440927,-0.013202692625078005
False,4,443.0,0.8034366021621667,-0.015862779645525293
False,4,444.0,0.8037010954695066,-0.015604229831072236
False,4,445.0,0.8033364069387282,-0.015974896103906566
